City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
606,Abu Dhabi,AE,82.51,clear sky,24.4667,54.3667,Beach Rotana
612,Lokoja,NG,86.7,overcast clouds,7.8024,6.743,Hotel Charvid
620,Ugoofaaru,MV,84.25,overcast clouds,5.6667,73.0,Ungoofaaru Inn
625,Tabou,CI,82.18,overcast clouds,4.423,-7.3528,hotêl doufoulougou
627,San Policarpo,PH,79.18,heavy intensity rain,12.1791,125.5072,Agapita M. Nicart
628,Banjar,ID,75.99,overcast clouds,-8.19,114.9675,The Hamsa Resort
638,Labrea,BR,85.73,overcast clouds,-7.2586,-64.7981,Hotel Novo Horizonte
646,Puerto Escondido,MX,87.24,clear sky,15.85,-97.0667,Aldea del Bazar Hotel and Spa
647,Umm Lajj,SA,78.12,overcast clouds,25.0213,37.2685,Moon light Furnished Units
649,Norsup,VU,79.61,few clouds,-16.0667,167.3833,Nabelchel Bungalows
651,Sinor,IN,84.43,clear sky,21.9167,73.3333,Reva Forest Homestay
652,Mabaruma,GY,87.8,scattered clouds,8.2,-59.7833,Monty Brooms Guest House
655,Hosakote,IN,83.57,scattered clouds,14.2769,77.1699,AVN lodge
656,Teahupoo,PF,75.16,light rain,-17.8333,-149.2667,Vanira Lodge
659,Stephenville,US,85.77,clear sky,32.2207,-98.2023,La Quinta Inn & Suites by Wyndham Stephenville
661,Mitsamiouli,KM,82.9,broken clouds,-11.3847,43.2844,Foyer ADM
663,Lazaro Cardenas,MX,85.6,overcast clouds,17.9583,-102.2,HOTEL QUINTA ANTIGUA
666,Bandarbeyla,SO,80.62,overcast clouds,9.4942,50.8122,JABIR HOTEL
669,Maragogi,BR,81.45,overcast clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
671,Abnub,EG,77.22,clear sky,27.2696,31.1511,مضيفت اولاد احمد ابو حسين
676,South Venice,US,75.97,haze,27.0531,-82.4243,"Island Sun Inn & Suites - Venice, Florida Historic Downtown & Beach Getaway"
678,Veinticinco De Mayo,AR,77.99,clear sky,-35.4323,-60.1727,Estancia La Rosada
682,Hobyo,SO,82.44,scattered clouds,5.3505,48.5268,Iftin hotel hobyo
683,Mumford,GH,82.47,overcast clouds,5.2618,-0.759,Spanish Villa
686,Denpasar,ID,76.71,few clouds,-8.65,115.2167,OYO 3156 Hotel Warta 2
688,Caravelas,BR,83.01,broken clouds,-17.7125,-39.2481,Pousada dos Navegantes
692,Gunjur,GM,87.87,clear sky,13.2019,-16.7339,Jallo Kurundingoto Eco Tourist Camp
