City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
179,Ancud,CL,2022-04-09 18:38:04,-41.8697,-73.8203,54.23,81,100,8.01,light rain
180,Marianske Lazne,CZ,2022-04-09 18:38:04,49.9646,12.7012,36.14,87,86,8.86,overcast clouds
181,Kalianget,ID,2022-04-09 18:39:04,-7.05,113.9333,80.17,76,100,0.92,overcast clouds
182,La Trinitaria,MX,2022-04-09 18:39:05,16.1167,-92.05,66.06,61,68,10.02,broken clouds
183,Bratsk,RU,2022-04-09 18:39:06,56.1325,101.6142,30.69,94,100,9.98,overcast clouds
184,Saint-Joseph,RE,2022-04-09 18:39:09,-21.3667,55.6167,77.38,82,23,11.95,light rain
185,Sarangani,PH,2022-04-09 18:39:13,5.4033,125.4636,82.38,82,100,21.68,overcast clouds
186,Daru,PG,2022-04-09 18:39:14,-9.0763,143.2092,74.48,91,100,0.89,overcast clouds
187,Presidencia Roque Saenz Pena,AR,2022-04-09 18:39:14,-26.7852,-60.4388,78.87,71,100,4.74,overcast clouds
188,Torbay,CA,2022-04-09 18:39:15,47.6666,-52.7314,37.27,88,100,29.93,overcast clouds
189,Alyangula,AU,2022-04-09 18:39:15,-13.8483,136.4192,71.47,94,59,0.0,broken clouds
190,Parainen,FI,2022-04-09 18:39:16,60.3067,22.301,33.42,97,100,17.74,light snow
191,Cururupu,BR,2022-04-09 18:39:17,-1.8283,-44.8683,77.14,90,100,5.41,light rain
192,Montceau-Les-Mines,FR,2022-04-09 18:39:18,46.6667,4.3667,43.72,85,10,2.15,clear sky
193,Kayes,ML,2022-04-09 18:39:19,14.0,-11.0,102.29,7,6,7.23,clear sky
194,Guiratinga,BR,2022-04-09 18:39:20,-16.3494,-53.7583,79.09,72,100,3.85,overcast clouds
195,Kaputa,ZM,2022-04-09 18:39:21,-8.4689,29.6619,70.75,82,86,3.62,overcast clouds
196,Derzhavinsk,KZ,2022-04-09 18:39:21,51.1,66.3167,38.82,74,100,13.71,overcast clouds
197,Ust-Ilimsk,RU,2022-04-09 18:39:21,58.0006,102.6619,23.79,97,100,1.81,overcast clouds
198,Nikolskoye,RU,2022-04-09 18:38:44,59.7035,30.7861,40.78,93,100,8.63,overcast clouds
199,Flinders,AU,2022-04-09 18:39:22,-34.5833,150.8552,62.38,93,21,5.99,few clouds
200,Preobrazheniye,RU,2022-04-09 18:39:23,42.9019,133.9064,45.77,71,100,9.19,overcast clouds
201,Pinega,RU,2022-04-09 18:39:23,64.7001,43.3936,33.21,97,100,5.28,overcast clouds
202,Chapais,CA,2022-04-09 18:39:24,49.7834,-74.8492,37.18,98,100,5.23,overcast clouds
203,Biltine,TD,2022-04-09 18:39:25,14.5333,20.9167,91.99,11,0,1.92,clear sky
204,Kodiak,US,2022-04-09 18:39:25,57.79,-152.4072,33.31,37,0,13.8,clear sky
205,Alcacer Do Sal,PT,2022-04-09 18:39:26,38.3733,-8.5144,56.91,92,100,5.17,overcast clouds
206,Souillac,MU,2022-04-09 18:39:27,-20.5167,57.5167,79.18,83,75,8.05,broken clouds
207,Kholmogory,RU,2022-04-09 18:39:28,64.2229,41.656,34.11,93,100,6.42,overcast clouds
208,Toamasina,MG,2022-04-09 18:39:28,-18.1667,49.3833,74.52,84,21,9.46,light rain
209,Geraldton,AU,2022-04-09 18:39:29,-28.7667,114.6,63.01,67,100,9.22,overcast clouds
210,Sirsa,IN,2022-04-09 18:39:29,29.5333,75.0167,86.14,9,0,6.64,clear sky
211,Gaillac,FR,2022-04-09 18:36:02,43.9016,1.8969,54.55,66,5,5.19,clear sky
212,Natchitoches,US,2022-04-09 18:39:30,31.7668,-93.1335,72.45,30,0,9.22,clear sky
213,Warrnambool,AU,2022-04-09 18:39:30,-38.3833,142.4833,62.82,80,100,11.86,overcast clouds
214,Padang,ID,2022-04-09 18:39:31,-0.9492,100.3543,77.83,79,98,3.51,overcast clouds
215,Port Elizabeth,ZA,2022-04-09 18:34:40,-33.918,25.5701,64.69,91,100,12.66,overcast clouds
216,Fallon,US,2022-04-09 18:39:32,39.4735,-118.7774,52.92,25,40,12.66,dust
217,Yazman,PK,2022-04-09 18:39:32,29.1212,71.7446,89.83,10,0,10.85,clear sky
218,Usta Muhammad,PK,2022-04-09 18:39:33,28.1794,68.0445,90.55,7,9,6.76,clear sky
219,San Antonio,US,2022-04-09 18:38:24,29.4241,-98.4936,86.52,25,0,14.97,clear sky
220,Vila,PT,2022-04-09 18:39:33,42.0304,-8.1588,54.48,88,3,5.37,clear sky
221,Lompoc,US,2022-04-09 18:39:34,34.6391,-120.4579,69.85,66,0,14.97,haze
222,Partapur,IN,2022-04-09 18:39:34,23.6,74.1667,90.59,11,0,11.77,clear sky
223,Kieta,PG,2022-04-09 18:39:34,-6.2167,155.6333,78.08,81,22,1.23,few clouds
224,Tura,IN,2022-04-09 18:39:35,25.5198,90.2201,69.87,89,0,4.03,clear sky
225,Omboue,GA,2022-04-09 18:39:36,-1.5746,9.2618,74.16,87,100,1.21,overcast clouds
226,Srandakan,ID,2022-04-09 18:39:37,-7.9386,110.2506,76.05,86,100,3.33,overcast clouds
227,Mishkino,RU,2022-04-09 18:40:37,55.3389,63.9175,36.86,89,94,8.23,overcast clouds
228,Krasnogorsk,RU,2022-04-09 18:40:38,55.8225,37.3181,48.45,66,100,13.42,overcast clouds
229,Chemal,RU,2022-04-09 18:40:39,51.4111,86.005,28.63,97,87,1.1,overcast clouds
230,Coquimbo,CL,2022-04-09 18:36:33,-29.9533,-71.3436,64.35,71,0,8.66,clear sky
231,Lao Cai,VN,2022-04-09 18:40:41,22.4833,103.95,68.97,76,0,1.25,clear sky
232,La Rioja,ES,2022-04-09 18:40:32,42.25,-2.5,51.58,79,21,2.13,few clouds
